"","name","start","nation","product","dist","class","genre","director","people","screen","play"
"254","살인자",41654,"한국","(주)홍필름","(주)영화사 빅","청소년관람불가","스릴러","이기욱",88199,847,3744
"255","상의원",41997,"한국","(주)영화사비단길,상의원문화산업전문(유)","(주)쇼박스,(주)와우픽쳐스","15세이상관람가","사극,드라마","이원석",788476,374,17116
"256","샌 안드레아스",42158,"미국","","워너브러더스 코리아(주)","12세이상관람가","액션,드라마,스릴러","브레드 페이튼",1716228,509,62002
"257","섀도우 헌터스: 뼈의 도시",41529,"미국","","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","판타지,액션","해럴드 즈워트",571074,419,18273
"258","서부전선",42271,"한국","(주)하리마오픽쳐스","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","전쟁,드라마","천성일",608359,1067,18928
"259","선 오브 갓",41739,"미국","","(주)프레인글로벌","12세이상관람가","드라마","크리스토퍼 스펜서",328360,607,15261
"260","설국열차",41487,"한국","(주)모호필름,오퍼스픽쳐스","씨제이이앤엠(주)","15세이상관람가","SF,액션","봉준호",4395186,297,72467
"261","성난 변호사",42285,"한국","씨제이이앤엠(주),(주)영화사 빛나는 제국,우수영화사","씨제이이앤엠(주)","15세이상관람가","범죄,액션","허종호",1126394,308,36963
"262","세이빙 산타",41627,"영국","","(주)영화사 빅","전체관람가","애니메이션,코미디,가족","레온 주센,아론 실먼",235668,340,5141
"263","세인트 빈센트",42068,"미국","","(주)영화사 빅","12세이상관람가","코미디,드라마","데오도르 멜피",79715,891,6312
"264","셀프/리스",42257,"미국","","(주)이수C&E","15세이상관람가","SF,액션,스릴러","타셈 싱",111089,455,6775
"265","셜록: 유령신부",42371,"영국","","메가박스(주)플러스엠","12세이상관람가","범죄,드라마","더글라스 맥키넌",1278862,368,32682
"266","소녀괴담",41822,"한국","(주)고스트픽처스,(주)주피터필름","(주)리틀빅픽쳐스","15세이상관람가","미스터리,공포(호러)","오인천",481270,398,19430
"267","소셜포비아",42075,"한국","한국영화아카데미","CGV아트하우스","15세이상관람가","스릴러,드라마","홍석재",247930,651,15110
"268","소수의견",42179,"한국","(주)하리마오픽쳐스","(주)시네마서비스","15세이상관람가","드라마","김성제",382787,634,16240
"269","소원",41549,"한국","(주)필름모멘텀","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","드라마","이준익",2687473,263,70876
"270","손님",42194,"한국","(주)유비유필름","씨제이이앤엠(주)","15세이상관람가","판타지,공포(호러)","김광태",827918,1027,23403
"271","숀더쉽",42229,"영국","","(주)박수엔터테인먼트","전체관람가","애니메이션,어드벤처,코미디","마크 버튼,리처드 스타잭",85364,546,2858
"272","수상한 그녀",41661,"한국","(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름","씨제이이앤엠(주)","15세이상관람가","드라마","황동혁",8197020,467,114537
"273","순수의 시대",42068,"한국","㈜화인웍스,(주)키메이커","씨제이이앤엠(주)","청소년관람불가","사극,드라마","안상훈",469891,779,23623
"274","순정",42424,"한국","(주)주피터필름","(주)리틀빅픽쳐스","12세이상관람가","드라마","이은희",228410,356,10492
